,country,GPI_path_primary,GPI_path_LS,GPI_path_US,GPI_NEET_15_19,GPI_NEET_20_24
0,Afghanistan,1.9219315979920872,0.5298299315722775,0.6723894790368995,2.2588450432016702,2.7042376510096173
1,Albania,0.8728947052290985,1.2659176010862987,0.7520332318917777,0.8696505505026328,1.0358748015178838
2,Angola,1.2041851142754576,0.8850979638878217,1.1424498175182483,1.697367984517556,1.6856861430979506
3,Argentina,0.8165189649060618,0.7122448979591837,1.0936405529953916,0.860187184171194,1.2443885448916407
4,Armenia,inf,0.2682830049666661,0.44331432149246386,0.5596439505612881,1.2258257459958795
5,Bangladesh,0.3533957077028033,0.8806308604772821,1.1730450196648332,2.5229328482636086,7.902624308079051
6,Belarus,,0.5528808821245536,0.0,0.96844276383637,0.7100537503053995
7,Belize,0.665733353207098,0.9856566828852149,1.6201570380220787,1.8839811542991756,3.160410904780719
8,Benin,1.3003985969272462,0.8165731567136765,2.240773337667882,1.2502323366092796,2.04307959311575
9,Bolivia,1.1697870724654613,0.9112727818195455,1.0305614783226724,1.4921431689218683,2.1695647769861903
10,Bosnia and Herzegovina,0.7269230769230769,1.435897435897436,,0.7837615433848404,1.1831085223789088
11,Botswana,,,,0.924010990634325,1.0887023495305266
12,Brazil,0.5747250454960691,0.7147775282100647,0.9127986016702272,1.267151972976832,1.5496075799728017
13,Brunei Darussalam,,,,1.0848509933774835,0.8980392156862745
14,Burkina Faso,1.125236498821655,0.725616406790076,0.9617021276595744,1.5769940578799004,2.9564863738865337
15,Burundi,0.968503937007874,1.0388548057259714,1.375,0.9593819580325214,1.3979324293954605
16,Cambodia,0.7665189903353462,1.076519744388006,1.2343415098833055,0.9764276006505804,1.9038243425249877
17,Cameroon,1.1308906165655712,0.8542832461633034,0.8613327995618697,2.00381616606902,2.619291556046541
18,Canada,,,,0.784434363703085,0.7412192875307875
19,Chad,1.1166269648557077,0.8791413056469695,0.537391743220236,1.854824548981846,3.646866788757067
20,Chile,,,,1.0319269771324568,1.1629765143697033
21,Colombia,0.7632197565301645,0.7266781635943486,1.0987544452985676,1.5036120843968321,2.674162265901537
22,Comoros,1.1178112786152987,0.8247599451303155,0.6230936819172114,1.2942618223760092,2.2585090486468538
23,"Congo, Democratic Republic of the",,,,1.7530191382089397,1.7414827407888367
24,Cook Islands,,,,2.2558139534883725,1.5555555555555556
25,Costa Rica,0.41434032118014286,0.7670394646302743,1.6940573675221995,0.9845509614993697,1.4439783615275295
26,C̫te d'Ivoire,1.435852863872015,0.7852381249927262,0.6830238433980562,1.4578952233889935,2.105552714309352
27,Djibouti,,,,1.4504299443601416,1.9282051282051282
28,Dominican Republic,0.43719639139486466,0.6750972202218062,0.916030534351145,1.2466933081289624,1.8415789052176352
29,Ecuador,,,,1.77049254405784,3.100237468528267
30,Egypt,0.9536437779531702,0.8580787738371057,2.8298342541436465,2.8800434777527144,2.2803809743678864
31,El Salvador,,,,2.021641695479575,2.8511266572861134
32,Eswatini,0.6690647482014387,1.0808080808080809,inf,1.3742095368313108,1.341892854316689
33,Ethiopia,1.0338174870676915,0.8426760940856503,0.9947352412116268,2.203616420819877,3.3289403315761326
34,Fiji,,,,1.4791885274571528,3.37701100762066
35,Gambia,,,,1.023783987204817,1.547571723232702
36,Georgia,0.3310366637150349,1.0882246721890898,0.4934276725158189,0.7993252802263575,0.943262234625735
37,Ghana,0.8312061511281343,0.9684984878931223,1.1379432215896959,1.0722829013683877,1.3011984380582156
38,Guatemala,,,,4.254520365922216,6.254189755827907
39,Guinea,1.3199050522693034,0.6905277636123913,1.4320622522506474,2.9662478831081884,2.058333613191389
40,Guinea-Bissau,1.0070397240710243,0.9519812617341095,0.0,1.7900749732238486,1.7460840014867522
41,Guyana,0.21739130434782605,0.592391304347826,0.5408163265306123,1.5089390962671907,2.2542394171586486
42,Haiti,0.7468271320674651,1.1105413026461812,4.001591716989744,2.1190348113425035,1.7942375011219818
43,Honduras,0.8028032345013477,0.8301455032166142,0.8609731876861966,3.167193614024104,4.198604506119903
44,"Hong Kong, China",,,,0.9219352923716235,0.8346629986244842
45,India,0.9614148312902256,0.8154256425080004,1.2089209331863944,2.360396727923324,3.2983977363725425
46,Indonesia,0.5461419283441693,0.8664944387705545,1.1546103985929688,1.1079809067758968,1.8573043723754965
47,"Iran, Islamic Republic of",,,,1.7131551584703661,2.3143408297393275
48,Iraq,1.3441831170279064,0.7045835396929987,1.7766366722563594,3.3467296202644947,4.111807492673282
49,Jamaica,0.7453703703703703,0.8780541012216405,0.46938775510204084,0.931240657698057,1.2555874221636565
50,Jordan,0.7217428089261614,0.8736635566015507,0.48249448738524836,0.9052043892997323,1.279981060211876
51,Kenya,0.7837019545497054,0.9311727524488436,1.4803259141494436,1.3879087989098697,1.7963371443130252
52,Kiribati,0.16172144240357764,0.5596406865322148,0.7739140130325954,0.5661496350364964,1.076054009368972
53,Kosovo,,,,0.8831967213114753,0.8969611342454887
54,Kyrgyzstan,0.0,0.8872144682445989,1.3751743992318266,1.2071496008926272,2.6706148867313915
55,Lao People's Democratic Republic,1.2246501158760883,0.8304370706675392,1.9379086873575098,1.1059762841692886,1.3105877275459716
56,Lebanon,0.45707997065297146,0.8829061405126314,0.9655172413793104,1.2855375440154808,1.9746805822062057
57,Lesotho,0.21567051366235124,1.06416074741391,9.371427449160244,0.9136499786050492,1.1591614557559944
58,Liberia,0.8459789062777827,1.1616262869085618,176.64177802614992,1.0282870829203834,1.7236956950192863
59,Madagascar,0.976275730749517,0.9208523188277065,1.7178171002413867,1.0171006719151023,1.6788469499115644
60,Malawi,0.81677843264304,1.1303422717533094,7.860346223585078,1.4882044305173767,2.0766467693451034
61,Maldives,0.3798143520133708,1.0391864752331197,1.1745113713633166,0.7897862232779098,1.8369602763385144
62,Mali,1.174867302573005,0.7772043046887697,0.9629047457323543,2.0801020408163264,4.278656263425586
63,Marshall Islands,,,,0.6468842729970326,1.6977611940298507
64,Mauritania,1.0818969191538637,0.9054685419394375,4.530318404628029,2.090162809213958,3.3156941649899396
65,Mauritius,,,,1.0091431942191418,1.3929983604976373
66,Mexico,,,,2.061032726045265,2.727207340666946
67,"Micronesia, Federated States of",,,,1.3426829268292684,1.7513513513513512
68,"Moldova, Republic of",,,,0.5101378751013788,0.7389926696618586
69,Mongolia,0.5905888999834606,0.6153200676542118,0.1142626892157158,1.1946619950535862,1.24452
70,Montenegro,1.0077634152302863,0.3866298971474796,4.026196829856592,0.8029389600602863,0.9239477503628447
71,Myanmar,,,,1.847365451272268,3.023556050712304
72,Namibia,0.6220095693779905,0.9251968503937008,1.456140350877193,1.210061694337162,1.187206154722895
73,Nauru,,,,1.650943396226415,2.7500000000000004
74,Nepal,1.1170149751708605,0.8682911694629051,1.7010342076436729,2.090263998806785,3.049340666785743
75,Nicaragua,,,,4.3239943129547544,5.248228563999221
76,Niger,1.1895403780068732,0.5105648712737129,0.1486378205128205,1.4063356649399654,2.8152786569771857
77,Nigeria,0.9804970859665764,0.8599730941773333,0.744164938002583,1.4271014340257944,0.975769727473374
78,North Macedonia,0.2163878613018051,0.8864509182396814,3.420700787990516,0.9689567430025445,0.947097452061991
79,Occupied Palestinian Territory,,,,0.6744138320250372,1.5935406323490984
80,Pakistan,1.178870399418348,0.7632394880944394,1.3016482161218197,4.904187404008788,8.839251914292168
81,Palau,,,,1.0625,1.7701149425287357
82,Panama,1.2045454545454546,0.5570152390961639,0.848,1.015947640117994,1.6803993250843645
83,Papua New Guinea,,,,0.888580285182889,1.189678079804844
84,Paraguay,,,,2.112576463325664,3.131173859665691
85,Peru,1.2107408295372812,0.8939914610017704,2.2426645519429025,1.058962602674062,1.3832541332541333
86,Philippines,,,,0.9938221897686956,1.4851318329409402
87,Rwanda,0.7896774193548387,1.1829175917461148,1.3805549289420258,1.0895235328297501,1.643619579369641
88,Saint Lucia,0.0,0.8111111111111111,0.0,0.9513618677042802,0.6470358814352574
89,Samoa,,,,0.7040483946021405,1.388923076923077
90,Senegal,0.9314510190437496,0.9587283848104298,5.163570436678967,1.6978136798665378,2.2425150901972475
91,Serbia,inf,1.4998078394053371,0.8922502353547244,0.7093973179879772,0.8800558204442378
92,Seychelles,,,,0.68796992481203,0.7802441731409544
93,Sierra Leone,1.0010364106252525,1.0394698711888855,1.3909589225992713,1.28821815335102,1.1811056307076233
94,Solomon Islands,,,,1.3603385731559856,2.2295373665480427
95,South Africa,0.6315556047897927,0.6322197562221042,1.0147191066343972,0.9732420679251952,1.1158889740539237
96,Sri Lanka,,,,1.38462552742616,2.784597875569044
97,Sudan,0.9238280908510462,0.8340564880284494,0.8751531059215203,1.7901982397530904,2.5425489221259183
98,Suriname,0.33285475748545046,0.8033802283486075,1.2232513893708197,0.9477569562748439,2.1698564593301435
99,"Tanzania, United Republic of",,,,1.4526698287081925,2.4258975639531655
100,Thailand,0.7824924826750987,0.6318914056290175,0.3846567746863001,1.0441842016943463,1.7895265122391064
101,Timor-Leste,0.6420001641186863,0.9713630508345108,1.2856921191787316,1.4622437971952533,1.6406574118397956
102,Togo,1.5405074263244465,0.9092256614122786,2.0097170599706753,1.5863161552770908,2.0413729573854535
103,Tonga,0.2676745055914138,0.33640935164193697,0.5985030460617954,0.7529610829103215,1.4335616438356165
104,Tunisia,0.4363457298804204,0.5932764584498169,0.5231938017939104,1.231318123349807,1.7429647181018533
105,Turkey,1.6892153073057596,1.050251256281407,0.9874157110338014,1.3603685416503786,1.786962306102152
106,Tuvalu,,,,1.2045454545454546,1.6153846153846154
107,Uganda,0.9866995580224073,0.9874942562994424,1.4927536231884058,1.3871328565862733,2.3460955384850184
108,United States,,,,0.9359561270565442,1.1145178721274827
109,Uruguay,0.2366666666666667,0.5944186046511628,0.6042553191489362,0.9335708096659284,1.4789815447710182
110,Vanuatu,,,,1.011097899326199,1.3552702947025856
111,"Venezuela, Bolivarian Republic of",,,,1.4709385558036991,2.564107372481783
112,Viet Nam,1.2145913311122762,0.5932319764590486,0.7868083990100027,0.9825128571693805,1.7263523655808506
113,Yemen,1.720900693346415,0.7407636443164077,1.1470035105315948,2.9424472231117083,2.8295251291094594
114,Zambia,0.8540355547723071,1.0859234099015587,1.3432238693238567,1.3901171486037773,1.6811806043569923
115,Zimbabwe,0.584709182541801,0.9002505657818539,1.3973531388976366,1.3017543711390738,1.5665719078161484
