,Country,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_Transitioned to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,Total_Transitioned to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,GDP,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP
0,Afghanistan,33.86134089,8.254576837,3.415738804,3.786342453,3.976627641,14.55592654,1.706867773,30.44257906,2777.983,940662.2934962488,229310.74125379772,94888.64329952332,105183.949666123,110470.03984028102,404361.16477368824,47416.49656641859,845689.67104836,6.0,3.0,3.0,516.7478708,2007.0,4.1107001304626465,1.5524200201034546,139.67345163147291,123.77352638900012,123.77352638900012,109.68359166199949,107.17814778705387,107.17814778705387,104.72993443232907,12.0,9.0,6.0,4.5,3.0,8.214801849351822,10.208546778198325,10.208546778198325,12.732031950719726,13.83789095669674,13.83789095669674,16.5459868793757,1996546953.1821024,604835149.0211858,250280411.6226057,346015771.5356764,394969094.9576566,1445732829.6214836,202707976.39284644,5241088186.333557,20116137325.8206,26.054147978032642
1,Albania,1.099108134,0.713800474,0.099165849,0.371935058,0.728686074,0.048609368,9.871477886,87.06721716,149.99,1648.5522901866002,1070.6293309526,148.73885691510003,557.8653934942,1092.9562423926,72.9091910632,14806.2296812114,130592.119018284,5.0,4.0,3.0,5246.292306,2005.0,14.55566692352295,2.8771400451660156,240.61077262769203,171.30641343029043,171.30641343029043,121.96414550298549,115.23765508016123,115.23765508016123,108.88213985846478,12.0,9.5,7.0,5.0,3.0,11.67442612373047,11.251815243017704,11.251815243017704,12.25246342946908,14.37620343934985,14.37620343934985,16.881562312894058,50484813.59004457,31599791.580977023,4390050.545624378,17929795.03545271,41216344.70411485,2749469.9553393275,655661385.2777053,804031650.6892581,14887629268.2927,5.400669483365391
2,Algeria,2.15748254,3.252027305,0.397180629,0.444625251,12.83145719,26.81798328,2.813620409,51.28562339,1792.845,38680.317844263,58303.80893632725,7120.833047995051,7971.44158129095,230048.1386580555,480804.87233631604,50443.85282173605,919471.7346664455,5.0,4.0,3.0,3306.858208,,10.0,10.0,313.8428376721003,247.303640184318,247.303640184318,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,12.0,9.5,7.0,5.0,3.0,14.184453409871745,14.403627039894937,14.403627039894937,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,907169033.8045523,1388527140.8502176,169585317.54593036,214534005.5760084,6632169556.092267,13861357259.097666,1571257738.3568084,24744600051.323452,145009181490.62,17.064160901373043
3,Angola,7.7,9.7,22.8,1.6,3.3,39.5,0.8,14.7,2209.021,170094.617,214275.037,503656.78800000006,35344.336,72897.693,872563.2950000002,17672.168,324726.087,6.0,3.0,3.0,1776.166868,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,2142678164.1971118,2915106941.468043,6852003944.893957,528240031.8292209,1096396348.2806573,13123532047.601809,295663151.8108565,26953620630.081654,58375976292.9678,46.172453707345696
4,Argentina,0.2,0.7,1.5,1.4,6.1,29.3,1.6,59.3,2131.984,4263.968,14923.887999999997,31979.76,29847.775999999994,130051.02399999999,624671.3119999999,34111.744,1264266.5119999999,6.0,3.0,3.0,8579.017773,2012.0,3.7152998447418213,4.690299987792969,163.86855688349416,146.88151634153695,146.88151634153695,131.65539657573112,122.90767382449353,122.90767382449353,114.74118553323873,12.0,9.0,6.0,4.5,3.0,9.044088505911436,11.262733125382805,11.262733125382805,14.066164583413032,14.888501112408411,14.888501112408411,17.35508218740228,165419350.9115914,720996815.384705,1544993175.8243678,1800923409.338658,8305625132.678164,39894232194.667244,2539441252.553811,54971631331.35854,389288056265.325,14.121068048872226
5,Armenia,0.099474532,0.0,0.0,0.0,0.539703959,0.839012558,1.51263563,97.00917332,70.442,70.07184983143999,0.0,0.0,0.0,380.17826279878,591.0172261063599,1065.5307904846,68335.20187007438,4.0,5.0,3.0,4266.018074,2008.0,39.68833541870117,0.8294995427131653,406.7630185771585,208.45925303825928,208.45925303825928,106.83188537953583,104.64822439228752,104.64822439228752,102.50919778821317,12.0,10.0,8.0,5.5,3.0,17.369290398470184,12.792644601737413,12.792644601737413,10.379236151440084,12.42628338711765,12.42628338711765,16.3665100506551,2596081.6909058406,0.0,0.0,0.0,10076767.331484683,15665133.068182286,37197588.09202721,65535570.18260002,12641209802.112,0.5184279923243645
6,Bangladesh,3.343933513,6.954979112,2.266373138,7.90019894,6.166328543,20.02120903,1.373772424,51.9732053,12412.588,415068.6899626164,863292.9026586184,281315.5601626114,980619.1456025672,765400.9567689928,2485150.189512696,170520.71104873312,6451219.844283164,5.0,3.0,4.0,1961.613749,2005.0,7.855966567993164,4.568900108337402,199.54399175960413,165.16887770277705,165.16887770277705,136.7155077987052,127.85389700236207,127.85389700236207,119.56667712311582,12.0,9.5,7.0,5.5,4.0,10.266863187052694,10.99727493495697,10.99727493495697,13.066741459164303,13.835336726807059,13.835336726807059,16.1318833333935,4179662842.1380906,9311652373.060331,3034326698.7367325,12567565792.445896,10386332830.602747,33722974571.75064,2698023378.9209886,75900538487.65543,323056957972.312,23.494475699904466
7,Barbados,0.0,0.0,0.0,0.0,0.0,17.3,0.0,82.7,7.382,0.0,0.0,0.0,0.0,0.0,1277.086,0.0,6104.914,6.0,3.0,2.0,15373.8547,,10.0,10.0,285.3116706110003,214.35888100000017,214.35888100000017,161.05100000000007,139.59645769144723,139.59645769144723,121.00000000000001,11.0,8.0,5.0,3.5,2.0,14.527203171826315,15.77515505510292,15.77515505510292,17.436179011744077,17.603500463804483,17.603500463804483,19.647001898033455,0.0,0.0,0.0,0.0,0.0,172811228.09861997,0.0,172811228.09861997,4418000000.0,3.9115262131874142
8,Belarus,0.0,0.0,0.0,0.0,0.0,11.1,0.4,88.5,182.251,0.0,0.0,0.0,0.0,0.0,20229.861,729.004,161292.135,4.0,5.0,2.0,6424.152176,,10.0,10.0,285.3116706110002,235.79476910000014,235.79476910000014,194.8717100000001,153.55610346059194,153.55610346059194,121.00000000000001,11.0,9.0,7.0,4.5,2.0,14.527203171826311,15.31895512194138,15.31895512194138,16.27697498158061,16.935578141662667,16.935578141662667,19.647001898033455,0.0,0.0,0.0,0.0,0.0,1100471374.417603,46005740.213884056,1146477114.6314871,60258239055.5829,1.9026064030413556
9,Belize,1.196324755,7.41457743,0.807591262,19.25468726,10.91667747,44.26976652,7.424627403,8.715747892,15.781,188.79200958655002,1170.0944642283,127.44597705622002,3038.5821965006003,1722.7608715407,6986.2118545212,1171.68045046743,1375.4321748365198,6.0,4.0,2.0,4115.177008,1999.0,9.707900047302246,6.873149394989014,259.7999472995309,196.7548072394991,196.7548072394991,149.00870679246032,130.4591157041576,130.4591157041576,114.21870061603643,12.0,9.0,6.0,4.0,2.0,12.332134628818212,13.537952322802429,13.537952322802429,15.11986124312257,16.932166649185508,16.932166649185508,19.04414125609742,4790495.0014425,32593607.38012909,3550075.883050151,94531667.62613757,60020009.28047439,243395648.9670693,45912305.61885058,484793809.75715363,1636280797.08056,29.627788251388093
10,Benin,23.87657128,19.21161605,2.358775515,1.82554549,12.18925455,27.17122265,0.927280856,12.4397336,774.147,184839.7602669816,148726.14930259352,18260.389886107052,14132.405644470304,94362.7484211885,210345.20500829548,7178.51692829832,96301.82447239199,6.0,4.0,3.0,1291.040972,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,1655280178.8361044,1430891968.841802,175682927.03383404,148490893.31122327,1062091492.9458008,2367521681.5864472,87296807.20068096,6927255949.755893,15651545331.5404,44.259245991489095
11,Bhutan,19.9,8.6,2.7,2.0,3.9,36.3,2.0,24.5,28.009,5573.791,2408.774,756.2430000000002,560.1800000000001,1092.351,10167.267,560.1800000000001,6862.205,7.0,4.0,2.0,3000.779327,,10.0,10.0,345.22712143931034,247.303640184318,247.303640184318,177.1561000000001,146.41000000000005,146.41000000000005,121.00000000000001,13.0,9.5,6.0,4.0,2.0,13.872862717185765,14.403627039894937,14.403627039894937,16.828976900706074,18.104101333885886,18.104101333885886,19.647001898033455,116016786.54682451,52056142.886303194,16343207.650351007,14144557.878033848,29671755.792568713,276175573.14621645,16513074.865823582,520921098.7661213,2315437338.08809,22.49774114795341
12,Bolivia,0.5,4.4,3.2,2.7,2.4,14.3,2.8,69.7,918.993,4594.965,40435.692,29407.776,24812.811000000005,22055.832000000002,131415.99900000004,25731.804,640538.121,6.0,3.0,3.0,3133.099803,2012.0,8.57746696472168,3.1033666133880615,196.8227577699306,153.76454081097512,153.76454081097512,120.1260173300049,114.74342497820575,114.74342497820575,109.60201518676784,12.0,9.0,6.0,4.5,3.0,10.173592956834364,11.576736655673498,11.576736655673498,13.366098241716763,14.343192707612804,14.343192707612804,16.939741629806925,73231983.78871915,733322934.5115744,533325770.5538723,519547010.29499185,495579704.1846883,2952829070.767102,682843611.1236613,5990680085.224609,36572764862.8234,16.38016733953357
13,Bosnia and Herzegovina,0.4,0.0,0.0,0.0,2.2,1.1,0.0,96.3,128.368,513.4720000000001,0.0,0.0,0.0,2824.0960000000005,1412.0480000000002,0.0,123618.38399999999,5.0,4.0,4.0,6079.738285,,10.0,10.0,345.2271214393103,272.0340042027498,272.0340042027498,214.3588810000001,177.1561000000001,177.1561000000001,146.41000000000005,13.0,10.5,8.0,6.0,4.0,13.872862717185763,14.026602301744907,14.026602301744907,15.775155055102912,16.828976900706074,16.828976900706074,18.104101333885886,21653980.61725519,0.0,0.0,0.0,144474785.6839797,72237392.84198985,0.0,238366159.14322472,19946496562.9733,1.195027700181214
14,Brazil,2.3,1.2,1.1,0.9,5.7,25.5,1.8,61.5,9577.976,220293.448,114935.71200000001,105357.73600000002,86201.78400000001,545944.6320000001,2442383.8800000004,172403.56800000003,5890455.24,5.0,4.0,3.0,6796.844542,2012.0,7.923233509063721,6.348732948303223,225.26876828122172,186.171677650248,186.171677650248,153.86018143375756,136.03842655530374,136.03842655530374,120.28098060972631,12.0,9.5,7.0,5.0,3.0,11.148579289964598,11.86831820152437,11.86831820152437,14.01313073409716,15.76553339795167,15.76553339795167,17.802800675195243,8346385667.405083,4635766079.262445,4249452239.3239083,4105147525.012473,29250588634.959515,130857896524.81888,10430663142.568153,191875899813.35043,1444733258971.65,13.281060612526236
15,Burkina Faso,54.6,13.0,2.1,4.3,3.6,16.2,0.2,5.9,1382.987,755110.9020000001,179788.31000000003,29042.727000000003,59468.441,49787.53200000001,224043.89400000003,2765.974,81596.23300000001,6.0,4.0,3.0,857.9327297,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,4493658551.698183,1149460822.653692,185682132.89021176,415224996.3118269,372387554.677582,1675743996.049119,22352439.898795135,8314510494.17941,17933606353.1775,46.36273558389015
16,Burundi,6.4,26.9,4.3,10.4,8.5,31.0,1.0,11.6,700.329,44821.056,188388.50099999996,30114.146999999997,72834.216,59527.965000000004,217101.98999999996,7003.29,81238.16399999999,6.0,3.0,3.0,238.9907259,1998.0,12.878266334533691,21.262531280517578,657.6907915784642,457.2890156629909,457.2890156629909,317.9506943439992,238.10572259959244,238.10572259959244,178.31171984589213,12.0,9.0,6.0,4.5,3.0,25.969833844869072,25.42352116971151,25.42352116971151,25.378054391547664,22.58283593681533,22.58283593681533,22.492763834048535,139092050.0552896,572322926.5282555,91486564.46362448,220874116.99796766,160638843.30214974,585859310.8666636,18823309.64610579,1789097121.8600564,2841786382.19063,62.95677722548964
17,Cambodia,3.8,20.2,1.5,8.7,17.3,11.5,6.4,30.6,880.748,33468.424,177911.096,13211.220000000001,76625.07599999999,152369.40400000004,101286.02,56367.872,269508.88800000004,6.0,3.0,3.0,1543.669258,2012.0,12.76830005645752,2.9830493927001953,245.31080991467985,171.06280355012225,171.06280355012225,119.28737575243969,114.1421012808179,114.1421012808179,109.2187601799433,12.0,9.0,6.0,4.5,3.0,11.835519789859736,12.36588328621446,12.36588328621446,13.315175748086583,14.303028955580983,14.303028955580983,16.908767496337113,305736196.09027046,1698057678.2046313,126093391.94588849,787484620.8972995,1682093165.6631217,1118154416.4812655,735644261.7963305,6453263731.078809,25808561550.9514,25.00435259957724
18,Cameroon,9.351361353,8.782605887,4.176956964,5.186918917,9.314785205,28.25666333,1.498729761,33.43197859,1713.741,160258.11356451572,150511.11795393267,71582.22404442324,88890.35611738497,159631.29312001902,484246.02471817523,25684.34639345901,572937.5242080519,6.0,4.0,3.0,1537.130218,2007.0,11.070233345031738,8.85669994354248,340.0730806291369,248.18709903719594,248.18709903719594,181.12823283320293,152.85365270399595,152.85365270399595,128.99280680593526,13.0,10.0,7.0,5.0,3.0,13.712267602568392,14.440266482588932,14.440266482588932,15.518332404427719,16.888659887609087,16.888659887609087,18.50687828034643,1688923470.741893,1670415280.189766,794439922.1748494,1060181840.3820114,2072019728.2750943,6285530217.439665,365327488.87160736,13936837948.074884,40804449726.0184,34.155191508901176
19,Central African Republic,14.32020415,22.46504824,19.84054015,6.166541556,5.742579418,26.62012004,0.104846024,4.740120427,359.484,51478.84268658601,80758.2540150816,71323.567352826,22167.73024717104,20643.65419500312,95695.0723245936,376.9046809161599,17039.97451579668,6.0,4.0,3.0,492.7958712,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,175967282.9452332,296574269.14547974,261926599.55925363,88906187.84741335,88690062.20670038,411128855.24876016,1749533.2382467326,1324942790.191087,2380087758.04137,55.66781248778043
20,Chad,43.2782222,11.69343178,10.06158827,3.325386551,5.437900836,19.6183634,0.271081579,6.314025382,1112.97,481673.62961934,130144.38768186599,111982.458968619,37010.55469666471,60522.2049344292,218346.49913298,3017.0566497963,70273.20829404538,6.0,4.0,3.0,659.270045,2003.0,1.0995266437530518,7.408037185668945,176.09709617288183,170.41382637722842,170.41382637722842,164.91397559456362,142.94991484591745,142.94991484591745,123.91113658367641,13.0,10.0,7.0,5.0,3.0,8.602928544509465,11.214797229022457,11.214797229022457,14.623302293135433,16.227167128803934,16.227167128803934,18.096184802346016,1365942864.5808396,481116462.72916585,413975627.4269441,178403922.8349173,323735852.53790784,1167944725.7757034,17997154.09404813,3949116609.979526,10829076801.729,36.46771264332523
21,Colombia,0.787515899,2.134075658,0.632183812,3.604593107,6.760065581,19.77748714,1.798513654,64.50556515,1659.331,13067.495442035688,35411.378956647975,10490.021969497719,59812.13084831417,112171.86380586312,328173.9751350334,29843.294600054738,1070360.8392591462,5.0,4.0,2.0,5334.556042,2012.0,6.000699996948242,5.270533561706543,182.13130988855272,157.43916508465335,157.43916508465335,136.09461611910717,122.80818039199524,122.80818039199524,110.81885236366385,11.0,8.5,6.0,4.0,2.0,10.63704832346567,11.744372990478071,11.744372990478071,14.335714931222949,16.370041296357318,16.370041296357318,18.741893178869407,370750525.9521295,1109279432.9535737,328605266.57944226,2287056624.9514227,4897810718.42184,14329208398.50978,1491861514.6069472,24814572481.975136,271437596293.843,9.141906950543536
22,Comoros,10.5,8.1,3.1,3.9,6.3,29.5,1.4,37.3,53.698,5638.29,4349.538,1664.6380000000001,2094.2219999999998,3382.9739999999997,15840.91,751.7719999999999,20029.354000000003,6.0,4.0,3.0,1420.661747,2004.0,2.222473382949829,5.386663436889648,164.731970703316,154.21930409099951,154.21930409099951,144.37752218205827,129.9954867142194,129.9954867142194,117.0461046197869,13.0,10.0,7.0,5.0,3.0,8.248801812756966,10.543166321335127,10.543166321335127,13.489686123562075,15.361911956829637,15.361911956829637,17.541362523347274,33036875.749589138,32574283.978747837,12466701.275817076,20067129.49955316,36915148.75353409,172856648.9252787,9367207.946348354,317283996.1288684,1235400352.2931,25.682686227176372
23,Congo,2.4,10.0,2.5,1.0,7.9,36.7,1.0,38.5,343.1,8234.400000000001,34310.0,8577.5,3431.0000000000005,27104.9,125917.70000000003,3431.0000000000005,132093.5,6.0,4.0,3.0,1846.131297,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,105446128.13675083,472022597.28622526,118005649.32155631,51549802.19824608,436246260.9489454,2026612376.8134556,59663250.31444749,3269546065.019627,,
24,Costa Rica,0.200326721,0.495768115,0.201855928,3.059070043,5.532161587,39.97111838,0.388449745,50.15124948,142.732,285.93033541772,707.6197459018001,288.11300315295995,4366.2718537747605,7896.16487635684,57051.57668614159,554.4420900334001,71581.88140779358,6.0,3.0,2.0,12140.85415,2009.0,4.188499927520752,4.856133460998535,162.13915578027397,143.36018464799787,143.36018464799787,126.7561955864608,118.05338305633593,118.05338305633593,109.94808724390737,11.0,8.0,5.0,3.5,2.0,9.883294656692787,12.21229899676555,12.21229899676555,15.145552471615053,16.02069941580512,16.02069941580512,18.66448175823321,17154624.785916332,52458590.59033167,21358932.05875788,401434911.0614493,767921675.8895617,5548407748.189958,62819051.38377398,6871555533.959748,61846895120.7808,11.11059095293351
25,Cuba,0.279056701,0.140238224,0.014636671,1.097698231,2.019052949,5.459703073,12.42304518,78.58727067,378.572,1056.4305341097202,530.9026493612799,55.41033813812,4155.578147061321,7643.569130088281,20668.907117517563,47030.1705988296,297509.4023208324,6.0,3.0,3.0,9477.852873,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,71012289.90872179,38541090.93838213,4022535.739230272,331412691.05399776,613445792.2957361,1658813296.0924888,4198654347.5418167,6915902043.570374,107352000000.0,6.442266602923443
26,C̫te d'Ivoire,29.243734,13.89978184,2.717805245,5.93556349,5.319423063,24.88652535,1.863336936,16.13383007,1747.294,510974.00955796003,242870.0541034096,47488.047977570306,103711.7447269606,92945.96001441524,434840.764249029,32557.97448251184,281905.4447833058,6.0,4.0,3.0,,2008.0,12.591800689697266,12.106266975402832,453.3669194977196,317.63586477114615,317.63586477114615,222.5405918470885,177.07182208050313,177.07182208050313,140.89308343555376,13.0,10.0,7.0,5.0,3.0,17.242398175579893,17.32049578131432,17.32049578131432,17.80430256954544,18.506245480407106,18.506245480407106,19.468641988817176,,,,,,,,0.0,,
27,Democratic Republic of the Congo,5.834717033,8.943697425,16.64686476,4.66986701,3.041875239,23.96144263,1.053948346,35.84758756,8049.578,469670.0986506208,719929.9003093665,1340002.363410713,375904.5874662178,244858.1200259914,1928795.0144271017,84838.39419097989,2885579.521760497,6.0,2.0,4.0,543.9503925,,10.0,10.0,313.84283767210025,235.7947691000002,235.7947691000002,177.1561000000001,161.05100000000004,161.05100000000004,146.41000000000005,12.0,9.0,6.0,5.0,4.0,14.184453409871738,15.318955121941382,15.318955121941382,16.828976900706074,17.436179011744077,17.436179011744077,18.104101333885886,1811902465.070297,2999498532.8007245,5582953453.208094,1720539465.714656,1161168186.7220852,9146747550.0636,417732928.1917727,22840542581.771233,,
28,Dominican Republic,1.0,3.9,8.1,1.8,2.2,18.6,2.0,62.3,771.288,7712.88,30080.232,62474.328,13883.184000000001,16968.336,143459.56800000003,15425.76,480512.424,6.0,2.0,4.0,7268.19691,2012.0,9.171299934387207,4.589166641235352,221.60068838145074,170.31216132178128,170.31216132178128,130.89414345214837,125.15076623676052,125.15076623676052,119.65939710185869,12.0,9.0,6.0,5.0,4.0,11.022855938716914,12.331638992774721,12.331638992774721,14.019941133045664,15.038322261686409,15.038322261686409,16.138695605179695,308963655.6629832,1348027254.4932408,2799748913.1782694,707346092.4927677,927332181.7003522,7840172081.648434,904714788.8950553,14836304968.071102,78844702329.0785,18.8171234462247
29,Egypt,3.3,5.5,0.3,2.6,6.1,6.1,4.6,71.5,5275.602,174094.866,290158.11000000004,15826.805999999999,137165.652,321811.72199999995,321811.72199999995,242677.69199999998,3772055.4299999997,6.0,3.0,3.0,3569.206841,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,4406971990.994648,7932417767.882358,432677332.79358304,4119502849.2062464,9726209218.158901,9726209218.158901,8158779175.754468,44502767552.94911,,
